,naive_128,sve_128_vl128,sve_128_vl256,sve_128_vl512,sme_full_128_vl128,sme_full_128_vl256,sme_full_128_vl512
simTicks,8.95271e+11,4.24422e+11,4.09747e+11,4.02938e+11,4.12211e+11,3.97804e+11,3.94291e+11
simSeconds,0.895271,0.424422,0.409747,0.402938,0.412211,0.397804,0.394291
simInsts,1.56846e+08,5.63223e+07,5.42129e+07,5.31582e+07,5.79658e+07,5.42953e+07,5.28935e+07
simOps,1.6217e+08,6.38128e+07,6.17033e+07,6.06486e+07,6.3296e+07,5.96265e+07,5.82252e+07
system.cpu.numCycles,8.95271e+08,4.24422e+08,4.09747e+08,4.02938e+08,4.12211e+08,3.97804e+08,3.94291e+08
system.cpu.ipc,0.175234,0.132848,0.132458,0.132078,0.140892,0.136629,0.134255
system.cpu.cpi,5.70664,7.52741,7.54959,7.57126,7.09764,7.31909,7.44852
system.cpu.commitStats0.numInsts,1.56882e+08,5.63836e+07,5.42741e+07,5.32194e+07,5.80772e+07,5.43516e+07,5.29355e+07
system.cpu.commitStats0.committedInstType::MatrixOP,0,0,0,0,131072,32768,8192
system.cpu.commitStats0.numVecInsts,1.43913e+07,5.82747e+06,4.77275e+06,4.24539e+06,3.06838e+06,2.15497e+06,1.78428e+06
system.mem_ctrl.readReqs,6.97063e+07,1.91846e+07,1.86922e+07,1.84293e+07,1.71062e+07,1.63692e+07,1.61715e+07
system.mem_ctrl.writeReqs,1.16384e+07,7.26497e+06,7.26394e+06,7.26292e+06,7.79756e+06,7.52236e+06,7.38412e+06
system.mem_ctrl.avgRdBWSys,1.4493e+09,1.3525e+09,1.35489e+09,1.35698e+09,1.32823e+09,1.32513e+09,1.32538e+09
system.mem_ctrl.avgWrBWSys,7.74045e+07,1.22173e+08,1.26549e+08,1.28687e+08,1.31849e+08,1.33875e+08,1.33696e+08
system.mem_ctrl.dram.readRowHitRate,89.06,86.72,86.79,86.85,83.79,83.68,83.64
system.mem_ctrl.dram.writeRowHitRate,90.72,91.19,91.26,91.29,91.94,91.86,91.87
system.mem_ctrl.requestorReadAvgLat::cpu.inst,25716.3,24300.9,24433.1,24682.1,25307.5,25411.8,25445.9
system.mem_ctrl.dram.rank0.totalEnergy,8.89737e+11,2.94742e+11,2.84106e+11,2.78935e+11,2.77099e+11,2.65589e+11,2.62701e+11
system.mem_ctrl.dram.rank1.totalEnergy,5.80718e+11,3.14675e+11,3.05254e+11,3.00783e+11,3.06547e+11,2.96439e+11,2.93841e+11
